row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
300,1,0.310421286,0.683521005,0.333333333,0.473158677,0.178572895,0.02739726,0.385683667
301,1,0.203991131,0.230999656,0.053333333,0.394506991,0.089287341,1,0.281936092
302,1,0.119733925,0.465588944,0.253333333,0.384519476,0.26785845,1,0.281936092
303,1,0.450110865,0.700178232,0.32,0.480649313,0.250001339,0.186602871,0.281936092
304,0,0.210643016,0,0.293333333,0.82896392,0.125001563,0,0.445267043
305,0,0.241685144,0.003709309,0.333333333,0.709113733,0.26785845,0.182608696,0.445267043
306,0,0.161862528,0.00735878,0.36,0.76154819,0.464286671,0.784810127,0.445267043
307,1,0.148558758,0.17936225,0.213333333,0.504369663,0.214287117,0.712328767,0.273971219
308,1,0.388026608,0.362314133,0.413333333,0.745318477,0.232144228,0.35359116,0.273971219
309,1,0.152993348,0.545266016,0.306666667,0.978776654,0.285715561,0.453333333,0.273971219
310,1,0.361419069,0.228223451,0.466666667,0.359550687,0.26785845,0.142011834,0.182477295
311,1,0.277161863,0.460036535,0.32,0.413233583,0.232144228,0.358778626,0.182477295
312,1,0.383592018,0.691849619,0.08,0.103620599,0.125001563,0.910614525,0.182477295
313,0,0.192904656,0.001728767,0.36,0.48938839,0.26785845,0.268817204,0.420555514
314,0,0.368070953,0.007047167,0.333333333,0.563046317,0.303572672,0.284883721,0.420555514
315,0,0.177383592,0.012365566,0.266666667,0.651685518,0.160715784,0,0.420555514
316,1,0.219512195,0.226835349,0.4,0.639201124,0.339286894,0.390476191,0.306290223
317,1,0.199556541,0.45726033,0.293333333,0.539325967,0.142858673,0.677083333,0.306290223
318,1,0.164079823,0.687685312,0.36,0.769038827,0.160715784,0,0.306290223
319,0,0.536585366,0.000680513,0.266666667,0.404494507,0.392858227,0.262096774,1.000000015
320,0,0.365853659,0.004950659,0.306666667,0.392010112,0.107144452,0.479532164,1.000000015
